id_partido,Date,Equipo_local,Equipo_visitante,FTR,Prediccion,Prob_H,Prob_D,Prob_A
9586,2025-10-19,Elche,Ath Bilbao,D,A,0.21242441755811317,0.34237549981271315,0.44520008262917365
9587,2025-10-19,Celta,Sociedad,D,D,0.3261203693671385,0.36022317443187846,0.313656456200983
9588,2025-10-19,Levante,Vallecano,A,A,0.2597410824787769,0.35302677411516425,0.3872321434060589
9589,2025-10-19,Getafe,Real Madrid,A,A,0.1672975807791908,0.3024809336348167,0.5302214855859926
9590,2025-10-20,Alaves,Valencia,D,D,0.32025946296185515,0.3717209907203875,0.3080195463177574
9591,2025-10-24,Sociedad,Sevilla,H,D,0.34607462542463996,0.3480715069841469,0.3058538675912131
9592,2025-10-25,Girona,Oviedo,D,H,0.3663868864520027,0.35420955575123014,0.27940355779676723
9593,2025-10-25,Espanol,Elche,H,D,0.35035496173687974,0.35458029841907057,0.29506473984404974
9594,2025-10-25,Ath Bilbao,Getafe,A,H,0.3948152088341311,0.3336644613914147,0.2715203297744541
9595,2025-10-25,Valencia,Villarreal,A,A,0.23534677876602855,0.326983842820423,0.43766937841354836
9596,2025-10-26,Mallorca,Levante,D,D,0.3262212166364469,0.35929454088721535,0.3144842424763379
9597,2025-10-26,Real Madrid,Barcelona,H,H,0.38460254528596843,0.30583505166387015,0.30956240305016136
9598,2025-10-26,Osasuna,Celta,A,D,0.3153981851673233,0.37100252365540826,0.3135992911772683
9599,2025-10-26,Vallecano,Alaves,H,D,0.3195166707117109,0.37317818662868385,0.30730514265960523
9600,2025-10-27,Betis,Ath Madrid,A,A,0.23220748796928622,0.32492178671900757,0.44287072531170624
9601,2025-10-31,Getafe,Girona,H,D,0.31344644485174,0.3843844663855411,0.302169088762719
9602,2025-11-01,Villarreal,Vallecano,H,H,0.4060527885210612,0.34304813861301636,0.2508990728659225
9603,2025-11-01,Ath Madrid,Sevilla,H,H,0.5993351338006546,0.2212276976557295,0.17943716854361594
9604,2025-11-01,Sociedad,Ath Bilbao,H,D,0.29588389702375145,0.38167012648298687,0.3224459764932616
9605,2025-11-01,Real Madrid,Valencia,H,H,0.636854688424803,0.19389733245426702,0.16924797912093006
9606,2025-11-02,Levante,Celta,A,A,0.24805059438646235,0.3446341479226705,0.40731525769086707
9607,2025-11-02,Alaves,Espanol,H,H,0.34613097093769096,0.3161246712881386,0.3377443577741705
9608,2025-11-02,Barcelona,Elche,H,H,0.6328763925223961,0.21481821845633692,0.15230538902126692
9609,2025-11-02,Betis,Mallorca,H,H,0.4456995670206083,0.32274171134880236,0.23155872163058927
9610,2025-11-03,Oviedo,Osasuna,D,D,0.25317725770195154,0.37409538172676393,0.37272736057128447
9611,2025-11-07,Elche,Sociedad,D,A,0.26360251400111634,0.36136338901772186,0.3750340969811619
9612,2025-11-08,Girona,Alaves,H,D,0.31715897097906237,0.3613265875500967,0.321514441470841
9613,2025-11-08,Sevilla,Osasuna,H,D,0.3258926404919984,0.3606699286690028,0.3134374308389988
9614,2025-11-08,Ath Madrid,Levante,H,H,0.6275864072846616,0.20562871527428045,0.16678487744105797
9615,2025-11-08,Espanol,Villarreal,A,A,0.24780338819201367,0.3452872828150274,0.40690932899295895
9616,2025-11-09,Ath Bilbao,Oviedo,H,H,0.4271114719252602,0.35707916067228296,0.21580936740245682
9617,2025-11-09,Vallecano,Real Madrid,D,A,0.17833484511630684,0.23965026337857986,0.5820148915051132
9618,2025-11-09,Mallorca,Getafe,H,D,0.2905107168408666,0.39896884690575746,0.310520436253376
9619,2025-11-09,Valencia,Betis,D,A,0.23380474858976413,0.3313935535839435,0.4348016978262923
9620,2025-11-09,Celta,Barcelona,A,A,0.18031898738760102,0.27803916759503705,0.5416418450173619
9621,2025-11-21,Valencia,Levante,H,D,0.3420731283108558,0.3556094476233824,0.30231742406576173
9622,2025-11-22,Alaves,Celta,A,D,0.28917190151976546,0.3869309931393199,0.32389710534091465
9623,2025-11-22,Barcelona,Ath Bilbao,H,H,0.5734206523948487,0.24960807100479188,0.17697127660035944
9624,2025-11-22,Osasuna,Sociedad,A,A,0.26118184712447784,0.36722800110714554,0.37159015176837656
9625,2025-11-22,Villarreal,Mallorca,H,H,0.5346918548572791,0.2569205796027202,0.20838756554000074
9626,2025-11-23,Oviedo,Vallecano,D,A,0.2071977716277477,0.34580668600347414,0.4469955423687781
9627,2025-11-23,Betis,Girona,D,H,0.4406266395949539,0.32361163368508533,0.23576172671996082
9628,2025-11-23,Getafe,Ath Madrid,A,A,0.20385084827148206,0.33539080790855197,0.46075834381996605
9629,2025-11-23,Elche,Real Madrid,D,A,0.17833484511630684,0.23965026337857986,0.5820148915051132
9630,2025-11-24,Espanol,Sevilla,H,D,0.3261203693671385,0.36022317443187846,0.313656456200983
9631,2025-11-28,Getafe,Elche,H,D,0.3107931337185685,0.38197725941617705,0.30722960686525447
9632,2025-11-29,Mallorca,Osasuna,D,D,0.3167831067109072,0.37854084122862586,0.30467605206046694
9633,2025-11-29,Barcelona,Alaves,H,H,0.5693286882994406,0.24217808745425132,0.18849322424630802
9634,2025-11-29,Levante,Ath Bilbao,A,A,0.2115220911300184,0.35120224614954315,0.4372756627204385
9635,2025-11-29,Ath Madrid,Oviedo,H,H,0.6346148827189168,0.2179623205493887,0.1474227967316945
9636,2025-11-30,Sociedad,Villarreal,A,A,0.2485830445352537,0.343227379894904,0.4081895755698422
9637,2025-11-30,Sevilla,Betis,A,A,0.2641221691730078,0.3293596358074436,0.40651819501954867
9638,2025-11-30,Celta,Espanol,A,D,0.3259650848894151,0.36052780860854966,0.3135071065020352
9639,2025-11-30,Girona,Real Madrid,D,A,0.17946059985275273,0.23485048733481959,0.5856889128124276
9640,2025-12-01,Vallecano,Valencia,D,D,0.3511287642789733,0.35315480867197324,0.29571642704905354
9641,2025-12-02,Barcelona,Ath Madrid,H,H,0.4348688796350982,0.323780561484094,0.24135055888080773
9642,2025-12-03,Ath Bilbao,Real Madrid,A,A,0.18451107599458708,0.26125489088595466,0.5542340331194582
9643,2025-12-05,Oviedo,Mallorca,D,D,0.2857828213023901,0.3933705531625535,0.32084662553505644
9644,2025-12-06,Villarreal,Getafe,H,H,0.4082422887154593,0.3395057513449568,0.25225195993958377
9645,2025-12-06,Alaves,Sociedad,H,D,0.29284559445822916,0.38801948601198827,0.31913491952978257
9646,2025-12-06,Betis,Barcelona,A,A,0.18488364430272788,0.23088431652477198,0.5842320391725
9647,2025-12-06,Ath Bilbao,Ath Madrid,H,A,0.23502240639113176,0.3279114435736303,0.4370661500352379
9648,2025-12-07,Elche,Girona,H,D,0.3261678410974313,0.3601300452815287,0.3137021136210401
9649,2025-12-07,Valencia,Sevilla,D,D,0.32295793323882865,0.3664271823298161,0.3106148844313554
9650,2025-12-07,Espanol,Vallecano,H,D,0.3196974010152831,0.3631672831085512,0.3171353158761656
9651,2025-12-07,Real Madrid,Celta,A,H,0.5548895312377101,0.2604513465444011,0.18465912221788863
9652,2025-12-08,Osasuna,Levante,H,H,0.40570631799525025,0.343608692470253,0.2506849895344967
9653,2025-12-12,Sociedad,Girona,A,H,0.37890591119348904,0.3586087498299363,0.2624853389765748
9654,2025-12-13,Ath Madrid,Valencia,H,H,0.6131854481456112,0.22634015140912817,0.16047440044526076
9655,2025-12-13,Mallorca,Elche,H,D,0.3051861750200528,0.377569907535113,0.31724391744483427
9656,2025-12-13,Barcelona,Osasuna,H,H,0.6177572127545997,0.2121668208439563,0.17007596640144398
9657,2025-12-13,Getafe,Espanol,A,D,0.29393082143588417,0.3918930686666632,0.31417610989745276
9658,2025-12-14,Sevilla,Oviedo,H,D,0.34840508824294564,0.3581723319451167,0.29342257981193764
9659,2025-12-14,Celta,Ath Bilbao,H,A,0.27215855005421685,0.35109993997073907,0.37674150997504413
9660,2025-12-14,Alaves,Real Madrid,A,A,0.19984060524881817,0.2727092182692534,0.5274501764819285
9661,2025-12-15,Vallecano,Betis,D,A,0.27275373316853685,0.3496808614279789,0.3775654054034842
9662,2025-12-19,Valencia,Mallorca,D,D,0.3487929269061891,0.36215646449121885,0.289050608602592
9663,2025-12-20,Oviedo,Celta,D,A,0.21012556347257974,0.3554857893127926,0.43438864721462755
9664,2025-12-20,Levante,Sociedad,D,A,0.2164241028645682,0.35934133707204674,0.4242345600633851
9665,2025-12-20,Osasuna,Alaves,H,D,0.3170336486809375,0.3780493326897125,0.30491701862935006
9666,2025-12-20,Real Madrid,Sevilla,H,H,0.6328763925223961,0.21481821845633692,0.15230538902126692
9667,2025-12-21,Girona,Ath Madrid,A,A,0.1795409605040743,0.3301556311994379,0.49030340829648783
9668,2025-12-21,Villarreal,Barcelona,A,A,0.183743336386138,0.23562799575041637,0.5806286678634457
9669,2025-12-21,Elche,Vallecano,H,D,0.31283130314522634,0.3768444532924333,0.3103242435623403
9670,2025-12-21,Betis,Getafe,H,H,0.3921903091902968,0.3386731514539049,0.2691365393557983
9671,2025-12-22,Ath Bilbao,Espanol,A,H,0.36712599226489145,0.3540962529825657,0.2787777547525428
9672,2026-01-02,Vallecano,Getafe,D,D,0.32670703134479384,0.3815761388741277,0.29171682978107843
9673,2026-01-03,Celta,Valencia,H,D,0.34374744014843783,0.3504207037585277,0.3058318560930345
9674,2026-01-03,Osasuna,Ath Bilbao,D,A,0.26118184712447784,0.36722800110714554,0.37159015176837656
9675,2026-01-03,Elche,Villarreal,A,A,0.23972662040672169,0.33306906505345174,0.42720431453982655
9676,2026-01-03,Espanol,Barcelona,A,A,0.17976254827737184,0.2388833510962909,0.5813541006263372
9677,2026-01-04,Sevilla,Levante,A,H,0.3705988060858332,0.3479863520033353,0.2814148419108315
9678,2026-01-04,Real Madrid,Betis,H,H,0.5241000797297521,0.23911195764117338,0.23678796262907456
9679,2026-01-04,Alaves,Oviedo,D,D,0.35991030662552437,0.3656251208765446,0.274464572497931
9680,2026-01-04,Mallorca,Girona,A,D,0.3164443036300552,0.3656526798324666,0.31790301653747816
9681,2026-01-04,Sociedad,Ath Madrid,D,A,0.20968362207012747,0.33795801694576916,0.4523583609841034
9682,2026-01-09,Getafe,Sociedad,A,A,0.2411935660870025,0.36275086401161677,0.39605556990138086
9683,2026-01-10,Oviedo,Betis,D,A,0.20777482467254701,0.3439847347307197,0.4482404405967332
9684,2026-01-10,Villarreal,Alaves,H,H,0.46289973347843094,0.3319916269539816,0.2051086395675874
